Номер_каталога,Вид,Опушение,Вегетация,Подвиды
ICG 46226,T. dicoccoides,0,X-20,416-418
ICG 125,T. dicoccoides,0,X-20,430
G-3028,T. dicoccoides,0,X-20,432
26118,T. dicoccoides,0,X-20,442-448
к-29540,T. timopheevii,1,II-16;IХ-18;Х-19;II-20;Х-20,8862-70;6911-20;7671-80;7571-80;6612-19
46007,T. timopheevii,1,IХ-17,8462-70
к-29537,T. timopheevii,1,IХ-18;Х-19;II-20;Х-20,6901-09;7662-70;7562-70;6601-10
11651#1,T. timopheevii,1,Х-19,7642-50
KU 107-1,T. timopheevii,1,Х-19,7651-60
к-29547,T. timopheevii,1,Х-19,7681-87
к-38555,T. timopheevii,1,Х-19;Х-19;II-20;Х-20,7692-98;8001-09;7591-7600;6623-29
к-47793,T. timopheevii,1,Х-19,7701-08
11651#2,T. timopheevii,1,Х-19;II-20,7721-29;7601-10
к-29558,T. timopheevii,1,Х-19,7731-35
BS1E,T. timopheevii,1,II-20,7581-90
NSA,T. durum,0,II-16,8691-8700
17794,T. durum,0,II-16,8701-09
17787,T. durum,1,II-16;Х-19,8711-18;7361-70
PI 595646,T. durum,0,IX-18,7677-88
PI 595655,T. durum,0,IХ-18,7731-40
Кристалл,T. durum,0,II-19,6611-19
к-17709,T. durum,1,Х-19;II-20;Х-20,7351-60;7421-30;6461-70
к-9580,T. durum,0,Х-19,7371-80
к-18118,T. durum,0,Х-19,7381-90
EGY 7185,T. durum,0,Х-19;II-20;Х-20,7391-7400;7431-40;6473-78
CYP 9305,T. durum,0,Х-19;II-20;Х-20,7401-10;7441-50;6481-90
JUG 11999,T. durum,0,X-19,7411-20
IOR 9580,T. durum,0,Х-19;II-20;Х-20,7421-29;7451-60;6491-6500
к-17769,T. durum,1,II-20;Х-20,7411-20;6451-60
18996,T. aethiopicum,1,X-14,7836-47
19006,T. aethiopicum,0,X-14,7893-7903
19007,T. aethiopicum,0,X-14,7904-14
19060,T. aethiopicum,0,X-14,8009-19
19213,T. aethiopicum,0,X-14,8069-80
19254,T. aethiopicum,0,X-14,8211-20
19286/2,T. aethiopicum,0,X-14,8271-80
19286/4,T. aethiopicum,0,X-14,8291-8300
19296/1,T. aethiopicum,0,X-14;X-19;II-20;X-20,8344-50;7531-40;7501-10;6541-50
19296/2,T. aethiopicum,0,X-14,8351-65
19530/2,T. aethiopicum,0,X-14,8573-82
19549,T. aethiopicum,0,X-14,8659-68
18999,T. aethiopicum,0,X-19,7442-46
19301,T. aethiopicum,0,X-19,7451-55
19553,T. aethiopicum,0,X-19;II-20;X-20,7471-80;7461-70;6502-09
к-19301/2,T. aethiopicum,0,X-19;II-20;X-20,7501-10;7471-80;6511-20
к-19302,T. aethiopicum,0,X-19;II-20;X-20,7511-20;7481-90;6521-30
к-19068/2,T. aethiopicum,0,X-19;II-20;X-20,7521-30;7491-7500;6531-40
BS2E,T. dicoccum,0,II-17,7612-20
к-5154,T. dicoccum,0,X-19;II-20;X-20,7551-60;7511-20;6551-60
к-18969,T. dicoccum,0,X-19;II-20;X-20,7561-70;7521-30;6561-66
к-15840,T. dicoccum,0,X-19;X-19,7571-80;7617-30
к-19551,T. dicoccum,0,X-19;II-20;X-20,7581-90;7531-40;6578
к-19564,T. dicoccum,0,X-19;II-20;X-20,7591-7600;7541-50;6581-90
BS1E,T. dicoccum,1,X-19,7601-10
к-25459,T. dicoccum,0,X-19;II-20;X-20,7631-40;7551-60;6592-97
к-16414,T. carthlicum,1,X-19;II-20;X-20,7741-50;7611-20;6641-50
к-7106,T. carthlicum,1,X-19,7751-60
к-32496,T. carthlicum,1,X-19;II-20;X-20,7761-69;7621-30;6651-60
к-7877,T. carthlicum,0,X-19;II-20;X-20,7771-79;7631-40;6661-69
к-13768,T. carthlicum,1,X-19;II-20;X-20,7781-90;7641-50;6671-80
к-13863,T. carthlicum,0,X-19;II-20;X-20,7791-7800;7652-60;6681-90
к-13938,T. carthlicum,0,X-19,7801-10
ANDW7Ata5A,T. carthlicum,0,X-19,7811-20
к-14940,T. carthlicum,1,X-19,7821-30
к-1706,T. carthlicum,1,X-19,7831-38
39297,T. polonicum,0,II-16,8782-90
19597,T. polonicum,0,II-19;X-19,6701-10;7881-90
к-17893,T. polonicum,0,X-19;II-20;X-20,7850-60;7661-70;6691-6700
к-43319,T. polonicum,0,X-19,7861-68
ANDW5AP17AL,T. polonicum,0,X-19;II-20;X-20,7892-99;7691-7700;6721-30
Tri 119879,T. polonicum,0,X-19,7911-16
ANDW5AP1,T. polonicum,0,X-19;II-20;X-20,7931-38;7681-90;6711-20
к-754,T. polonicum,1,II-20;X-20,7671-80;6701-10
ANDW5BP27BL,T. polonicum,0,II-20;Х-20,7701-10;6731-40
с 42919,T. turgidum,0,II-15,7721-28
к-40750,T. turgidum,0,X-19;II-20;X-20,7951-60;7721-30;6751-60
к-3411,T. turgidum,0,X-19;II-20;X-20,7981-88;7741-50;6771-80
к-4045,T. turgidum,1,X-19;II-20;X-20,7991-8000;7751-60;6781-90
к-41695,T. turgidum,0,II-20;X-20,7711-20;6741-50
к-5286,T. turgidum,0,II-20;X-20,7731-40;6762-70
Unnamed 2,T. vavilovii,1,II18,8730-55
Tri 4630,T. vavilovii,1,Х-20,251-260
Tri 46301,T. vavilovii,1,Х-20,256-260
Tri 9416,T. vavilovii,1,Х-20,261-270
Tri 11556,T. vavilovii,1,Х-20,271-280
Unnamed 3,T. macha,1,II-18,8461-70
к-28673,T. macha,0,Х-20,341-348
к-31688,T. macha,0,Х-20,351-360
к-38547,T. macha,1,Х-20,361-368
к-28174,T. macha,0,Х-20,371-377
31689,T. macha,0,Х-20,378
58671,T. macha,0,Х-20,381-390
28195,T. macha,0,Х-20,391-400
TD E,T. aestivum,1,X-14,7681-90
TD F,T. aestivum,0,X-14,7712-20
31332,T. aestivum,0,IX-16,6661-70
Балаганка,T. aestivum,0,IX-18,6761-70
Паллада,T. aestivum,0,II-19,6542-60
АНК-23,T. aestivum,0,II-18,8511-20
Unnamed 4,T. aestivum,0,IX16,6401
Unnamed 5,T. aestivum,1,IX-18,6416-20
к-1709,T. compactum,0,IX-16,6472-80
8326,T. compactum,0,IX-16,6933-40
squarhed,T. compactum,0,II-18,6521-30
43551,T. petropavlovskyi,1,II-17;IX-18,6531-40;6731-40
KU-502,T. petropavlovskyi,1,II-17,6551-60
KU-503,T. petropavlovskyi,1,II-17,6561-70
44126,T. petropavlovskyi,1,IX-18,6750-60
Unnamed 6,T. petropavlovskyi,1,IX-18,7791-7800
Unnamed 7,T. petropavlovskyi,1,IX17,6631-39
Unnamed 8,T. petropavlovskyi,1,IX17,6611-20
KU-508,T. yunnanense,1,IX-17,6561-70
KU-509,T. yunnanense,0,IX-17,6571-79
KU-506,T. yunnanense,1,IX-18,6673-80
Unnamed 9,T. yunnanense,0,II-18,8521-30
53660,T. spelta,0,II-18,6441-50
AD,T. spelta,1,II-18,7221-30
к-19092,T. spelta,0,II-18,8441-50
к-1731,T. spelta,0,II-18,8431-40
к-14976,T. sphaerococcum,1,II-18,8451-60
к-33750,T. sphaerococcum,0,II-18,8491-8500
